iter	Passed	Remaining
420	2166	2979
421	2170	2972
422	2175	2967
423	2180	2962
424	2185	2956
425	2189	2950
426	2195	2945
427	2199	2939
428	2203	2933
429	2208	2927
430	2212	2921
431	2217	2915
432	2221	2908
433	2226	2904
434	2232	2899
435	2236	2892
436	2241	2888
437	2246	2882
438	2251	2877
439	2256	2871
440	2261	2865
441	2265	2860
442	2269	2853
443	2275	2849
444	2280	2843
445	2284	2837
446	2289	2832
447	2294	2826
448	2299	2821
449	2302	2814
450	2307	2809
451	2312	2803
452	2316	2797
453	2321	2791
454	2326	2786
455	2331	2781
456	2335	2775
457	2340	2769
458	2346	2765
459	2350	2759
460	2357	2756
461	2364	2753
462	2370	2749
463	2378	2747
464	2385	2744
465	2392	2741
466	2398	2737
467	2404	2733
468	2410	2729
469	2417	2726
470	2423	2722
471	2429	2717
472	2435	2713
473	2443	2711
474	2451	2709
475	2456	2703
476	2461	2698
477	2466	2693
478	2472	2688
479	2494	2701
480	2499	2697
481	2505	2692
482	2511	2687
483	2534	2701
484	2543	2701
485	2555	2703
486	2566	2703
487	2574	2700
488	2583	2699
489	2592	2698
490	2602	2697
491	2607	2692
492	2613	2687
493	2619	2683
494	2628	2681
495	2637	2680
496	2643	2675
497	2648	2669
498	2653	2664
499	2657	2657
500	2662	2652
501	2668	2646
502	2672	2640
503	2676	2634
504	2681	2628
505	2686	2623
506	2691	2616
507	2696	2611
508	2701	2605
509	2705	2599
510	2710	2593
511	2714	2587
512	2719	2581
513	2724	2576
514	2730	2571
515	2736	2566
516	2742	2561
517	2746	2556
518	2752	2551
519	2758	2545
520	2762	2540
521	2768	2534
522	2773	2529
523	2777	2523
524	2783	2518
525	2789	2513
526	2793	2507
527	2798	2502
528	2803	2495
529	2808	2490
530	2811	2483
531	2817	2478
532	2822	2472
533	2826	2466
534	2831	2461
535	2835	2454
536	2840	2449
537	2844	2442
538	2849	2437
539	2854	2431
540	2858	2425
541	2863	2419
542	2868	2413
543	2873	2408
544	2878	2403
545	2883	2397
546	2888	2392
547	2892	2386
548	2898	2381
549	2903	2375
550	2907	2369
551	2912	2364
552	2917	2358
553	2922	2352
554	2927	2347
555	2932	2341
556	2936	2335
557	2940	2329
558	2945	2323
559	2949	2317
560	2955	2312
561	2959	2306
562	2964	2301
563	2969	2295
564	2973	2289
565	2978	2284
566	2983	2278
567	2987	2272
568	2992	2266
569	2997	2261
570	3003	2256
571	3008	2250
572	3013	2245
573	3017	2239
574	3022	2233
575	3027	2228
576	3031	2222
577	3036	2216
578	3040	2211
579	3045	2205
580	3050	2199
581	3054	2193
582	3059	2188
583	3063	2182
584	3068	2176
585	3072	2171
586	3077	2165
587	3082	2159
588	3086	2153
589	3091	2148
590	3095	2142
591	3100	2136
592	3105	2131
593	3110	2126
594	3115	2120
595	3119	2114
596	3124	2108
597	3128	2103
598	3133	2097
599	3138	2092
600	3143	2086
601	3148	2081
602	3152	2075
603	3157	2070
604	3162	2064
605	3166	2058
606	3171	2053
607	3176	2048
608	3181	2042
609	3186	2037
610	3191	2031
611	3196	2026
612	3200	2020
613	3205	2014
614	3210	2009
615	3214	2003
616	3218	1998
617	3224	1992
618	3228	1987
619	3232	1981
620	3237	1976
621	3243	1970
622	3247	1964
623	3252	1959
624	3256	1954
625	3261	1948
626	3265	1942
627	3269	1936
628	3274	1931
629	3278	1925
630	3283	1920
631	3288	1914
632	3293	1909
633	3297	1903
634	3302	1898
635	3307	1892
636	3311	1887
637	3316	1881
638	3321	1876
639	3325	1870
640	3329	1864
641	3335	1859
642	3340	1854
643	3344	1848
644	3349	1843
645	3354	1837
646	3358	1832
647	3363	1826
648	3368	1821
649	3372	1816
650	3376	1810
651	3381	1804
652	3386	1799
653	3391	1794
654	3395	1788
655	3400	1783
656	3405	1778
657	3409	1772
658	3414	1767
659	3420	1761
660	3424	1756
661	3429	1751
662	3434	1745
663	3439	1740
664	3442	1734
665	3447	1729
666	3452	1723
667	3456	1718
668	3461	1712
669	3466	1707
670	3471	1701
671	3474	1696
672	3479	1690
673	3484	1685
674	3488	1679
675	3493	1674
676	3498	1669
677	3503	1663
678	3507	1658
679	3512	1652
680	3517	1647
681	3521	1642
682	3526	1636
683	3531	1631
684	3536	1626
685	3540	1620
686	3545	1615
687	3551	1610
688	3555	1604
689	3560	1599
690	3564	1593
691	3569	1588
692	3573	1582
693	3578	1577
694	3582	1572
695	3586	1566
696	3591	1561
697	3596	1555
698	3600	1550
699	3604	1544
700	3610	1539
701	3615	1534
702	3619	1529
703	3624	1523
704	3628	1518
705	3633	1513
706	3637	1507
707	3642	1502
708	3647	1497
709	3652	1491
710	3656	1486
711	3661	1480
712	3665	1475
713	3669	1470
714	3675	1465
715	3680	1460
716	3685	1454
717	3691	1449
718	3696	1444
719	3700	1438
720	3704	1433
721	3709	1428
722	3714	1423
723	3719	1417
724	3724	1412
725	3729	1407
726	3733	1402
727	3738	1396
728	3742	1391
729	3747	1386
730	3752	1380
731	3757	1375
732	3762	1370
733	3766	1364
734	3770	1359
735	3774	1354
736	3780	1348
737	3784	1343
738	3789	1338
739	3794	1333
740	3798	1327
741	3803	1322
742	3808	1317
743	3813	1312
744	3817	1306
745	3822	1301
746	3827	1296
747	3831	1290
748	3836	1285
749	3841	1280
750	3845	1275
751	3850	1269
752	3856	1264
753	3861	1259
754	3866	1254
755	3871	1249
756	3876	1244
757	3880	1239
758	3886	1233
759	3890	1228
760	3894	1223
761	3899	1218
762	3904	1212
763	3909	1207
764	3913	1202
765	3918	1197
766	3923	1191
767	3928	1186
768	3933	1181
769	3937	1176
770	3942	1170
771	3947	1165
772	3951	1160
773	3956	1155
774	3960	1149
775	3965	1144
776	3969	1139
777	3974	1134
778	3979	1128
779	3984	1123
780	3989	1118
781	3993	1113
782	3998	1108
783	4002	1102
784	4007	1097
785	4011	1092
786	4016	1087
787	4021	1081
788	4025	1076
789	4029	1071
790	4034	1066
791	4039	1060
792	4043	1055
793	4048	1050
794	4053	1045
795	4057	1039
796	4062	1034
797	4066	1029
798	4071	1024
799	4076	1019
800	4081	1013
801	4086	1008
802	4089	1003
803	4095	998
804	4100	993
805	4104	987
806	4109	982
807	4113	977
808	4118	972
809	4122	967
810	4127	961
811	4132	956
812	4136	951
813	4141	946
814	4146	941
815	4150	935
816	4154	930
817	4162	926
818	4167	920
819	4171	915
820	4177	910
821	4182	905
822	4186	900
823	4191	895
824	4196	890
825	4200	884
826	4205	879
827	4210	874
828	4214	869
829	4218	864
830	4223	859
831	4228	853
832	4233	848
833	4237	843
834	4242	838
835	4247	833
836	4251	828
837	4256	822
838	4261	817
839	4265	812
840	4270	807
841	4276	802
842	4280	797
843	4285	792
844	4290	787
845	4295	781
846	4299	776
847	4304	771
848	4308	766
849	4313	761
850	4317	756
851	4323	750
852	4328	745
853	4332	740
854	4337	735
855	4341	730
856	4346	725
857	4351	720
858	4355	715
859	4360	709
860	4364	704
861	4370	699
862	4374	694
863	4379	689
864	4384	684
865	4388	679
866	4393	674
867	4397	668
868	4402	663
869	4407	658
870	4412	653
871	4416	648
872	4421	643
873	4425	638
874	4429	632
875	4435	627
876	4440	622
877	4444	617
878	4449	612
879	4454	607
880	4459	602
881	4463	597
882	4468	592
883	4473	587
884	4477	581
885	4482	576
886	4487	571
887	4492	566
888	4496	561
889	4501	556
890	4506	551
891	4510	546
892	4514	540
893	4519	535
894	4524	530
895	4529	525
896	4534	520
897	4538	515
898	4543	510
899	4548	505
900	4553	500
901	4557	495
902	4562	490
903	4567	485
904	4571	479
905	4575	474
906	4581	469
907	4586	464
908	4590	459
909	4595	454
910	4599	449
911	4604	444
912	4608	439
913	4614	434
914	4618	429
915	4622	423
916	4627	418
917	4632	413
918	4637	408
919	4641	403
920	4646	398
921	4651	393
922	4655	388
923	4660	383
924	4664	378
925	4669	373
926	4673	368
927	4679	363
